Tools,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840992,1,OK,0.9025210,0.3929244,0.0526259,-0.1682163,-12.969,24.303,-305.241,0.0419627,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840992,1,OK,0.6823513,-0.3882616,-0.5837228,-0.2071651,86.894,-115.271,-161.948,0.0065692,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841000,1,OK,0.9041171,0.3917225,0.0484456,-0.1636424,-12.859,24.580,-304.658,0.0472062,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841000,1,OK,0.6823945,-0.3884680,-0.5835855,-0.2070224,86.886,-115.269,-161.908,0.0062556,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841008,1,OK,0.9037776,0.3897250,0.0556035,-0.1679543,-12.220,25.299,-303.644,0.0426822,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841008,1,OK,0.6824164,-0.3885126,-0.5835592,-0.2069407,86.886,-115.273,-161.916,0.0057921,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841016,1,OK,0.9043837,0.3854365,0.0632641,-0.1718326,-11.179,26.013,-302.668,0.0321545,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841016,1,OK,0.6823716,-0.3883830,-0.5836548,-0.2070624,86.892,-115.272,-161.929,0.0063138,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841024,1,OK,0.9057459,0.3811927,0.0697631,-0.1716091,-9.921,27.552,-301.599,0.0356563,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841024,1,OK,0.6823874,-0.3884267,-0.5836318,-0.2069930,86.892,-115.275,-161.924,0.0064038,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841032,1,OK,0.9067378,0.3766024,0.0768904,-0.1734503,-8.529,29.794,-300.284,0.0418846,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841032,1,OK,0.6824214,-0.3885403,-0.5835596,-0.2068713,86.894,-115.276,-161.922,0.0049925,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841040,1,OK,0.9079799,0.3708124,0.0835205,-0.1763379,-6.949,32.530,-298.622,0.0398366,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841040,1,OK,0.6825315,-0.3888795,-0.5833252,-0.2065316,86.892,-115.278,-161.918,0.0036695,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841048,1,OK,0.9103642,0.3646454,0.0871711,-0.1751342,-5.486,35.252,-297.568,0.0443539,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841048,1,OK,0.6825425,-0.3889051,-0.5833029,-0.2065098,86.887,-115.277,-161.911,0.0035621,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841056,1,OK,0.9126612,0.3593524,0.0897511,-0.1728006,-4.310,38.163,-296.901,0.0367197,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841056,1,OK,0.6824769,-0.3887570,-0.5834227,-0.2066670,86.891,-115.280,-161.914,0.0037370,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841064,1,OK,0.9147868,0.3542984,0.0908360,-0.1714254,-3.182,41.312,-296.182,0.0368921,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841064,1,OK,0.6825414,-0.3889709,-0.5832708,-0.2064801,86.889,-115.280,-161.900,0.0042771,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841072,1,OK,0.9171070,0.3496703,0.0902010,-0.1688469,-2.280,44.480,-295.319,0.0392505,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841072,1,OK,0.6825614,-0.3889715,-0.5832392,-0.2065021,86.882,-115.278,-161.896,0.0044951,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841080,1,OK,0.9192850,0.3468512,0.0869008,-0.1644918,-1.595,47.677,-294.823,0.0450143,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841080,1,OK,0.6825093,-0.3888474,-0.5833392,-0.2066255,86.884,-115.281,-161.906,0.0039430,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841088,1,OK,0.9214307,0.3450419,0.0824530,-0.1584713,-1.131,50.536,-294.772,0.0443938,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841088,1,OK,0.6825441,-0.3889586,-0.5832599,-0.2065251,86.880,-115.279,-161.902,0.0041324,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,841096,1,OK,0.9232003,0.3441267,0.0769971,-0.1528050,-0.821,53.129,-295.175,0.0440932,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,841096,1,OK,0.6825797,-0.3890718,-0.5831821,-0.2064139,86.876,-115.279,-161.891,0.0039450,0
